year,count
1800,2
1801,1
1802,4
1803,7
1804,2
1805,3
1806,0
1807,3
1808,1
1809,0
1810,0
1811,2
1812,0
1813,2
1814,0
1815,0
1816,1
1817,4
1818,9
1819,4
1820,4
1821,6
1822,5
1823,10
1824,14
1825,17
1826,15
1827,5
1828,13
1829,8
1830,5
1831,7
1832,6
1833,3
1834,6
1835,3
1836,5
1837,5
1838,7
1839,9
1840,10
1841,17
1842,12
1843,11
1844,12
1845,10
1846,17
1847,15
1848,14
1849,17
1850,13
1851,16
1852,16
1853,11
1854,12
1855,10
1856,6
1857,7
1858,9
1859,7
1860,5
1861,5
1862,3
1863,3
1864,2
1865,5
1866,5
1867,3
1868,2
1869,2
1870,1
1871,1
1872,1
1873,1
1874,1
1875,1
1876,3
1877,1
1878,1
1879,1
1880,1
1881,3
1882,4
1883,5
1884,2
1885,4
1886,4
1887,3
1888,0
1889,4
1890,3
1891,5
1892,4
1893,3
1894,5
1895,4
1896,4
1897,1
1898,4
1899,1
1900,3
