sourceID,size,year
album1856,52,1856
amsterdam1847-reglement1848,12,1848
amsterdam1849-banierzang1862,1,1862
amsterdam1849-feestbundel1851,6,1851
amsterdam1849-feestliederen1852,22,1852
amsterdam1849-feestliederen1857,16,1857
amsterdam1849-feestliederen1858,13,1858
amsterdam1849-feestliederen1859,13,1859
amsterdam1849-feestliederen1861,12,1861
amsterdam1849-feestliederen1862,8,1862
amsterdam1849-feestliederen1863,6,1863
amsterdam1849-feestliederen1864,4,1864
amsterdam1849-feestliederen1865,6,1865
amsterdam1849-hoezee1863,1,1863
amsterdam1857-1-buitengewone1861,5,1861
amsterdam1857-1-feestboekje1859,14,1859
amsterdam1857-1-feestboekje1861,14,1861
amsterdam1857-1-feestboekje1863,18,1863
amsterdam1857-1-feestboekje1865,12,1865
amsterdam1857-1-feestbundel1862a,12,1862
amsterdam1857-1-feestbundel1862b,8,1862
amsterdam1857-1-feestlied1863,1,1863
amsterdam1857-1-feestliederen1860,7,1860
amsterdam1857-1-feestliederen1861,9,1861
amsterdam1857-1-feestzangen1859,4,1859
amsterdam1857-1-klagt,2,
amsterdam1857-1-liederen1858,7,1858
amsterdam1857-1-liederen1858b,5,1858
amsterdam1857-1-volkslied1861,1,1861
arnhem1849-coupletten1868,2,1868
arnhem1849-feestboekje1869,8,1869
arnhem1849-zangcoupletten1856,4,1856
arnhem1849-zangstukjes1859,11,1859
denbosch1849-feestzang1854,1,1854
gorinchem1856-feestzangen1863,5,1863
haarlem1851-feestliederen1852,25,1852
haarlem1851-feestliederen1860,8,1860
haarlem1851-feestliederen1861,4,1861
haarlem1851-feestzangen1862,10,1862
haarlem1851-iisgdossier,7,
herinnering,1,
leiden1854-feestzangen1865,7,1865
liederen1863,11,1863
middelburg1847-feestbundel1864,88,1864
utrecht1851-feestbundel1855,22,1855
utrecht1851-feestzangen1853,26,1853
utrecht1851-feestzangen1854,32,1854
utrecht1851-feestzangen1856,18,1856
utrecht1851-feestzangen1858,19,1858
utrecht1851-feestzangen1859,13,1859
utrecht1851-feestzangen1860,15,1860
utrecht1851-feestzangen1861,28,1861
utrecht1851-feestzangen1862,10,1862
utrecht1851-feestzangen1863,11,1863
utrecht1851-feestzangen1864,9,1864
utrecht1851-feestzangen1866,10,1866
utrecht1851-feestzangen1867,7,1867
utrecht1851-feestzangen1868,8,1868
utrecht1851-feestzangen1869,10,1869
