"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Y5GFR4A8","book","1894","","Feestboekje ter herdenking van het 37 1/2-jarig bestaan der typografische tooneelvereeniging ""Coster"", op ... 9 September 1894 ...","","","","","http://www.worldcat.org/oclc/86127942","","1894","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","Druk du Mée","Z.pl.","Dutch","","","NL-AsdIISG","","","","","","","","amsterdam1857-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V2AVIYS7","book","1859","","Feestboekje voor de tweede jaarlijksche feestviering der typografische vereeniging ""De Nederlandsche drukpers"" gevestigd te Amsterdam op ... 9 Januari 1859 ...","","","","","http://www.worldcat.org/oclc/83772505","","1859","2021-01-11 16:49:57","2021-01-29 15:56:21","","","","","","","","","","","","","Drukkerij van Es","","nl","","","NL-AsdIISG","","","","","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VFALSG32","book","1898","","Feestboekje ter gelegenheid van het een-en-veertig-jarig bestaan der typografische vereeniging ""De Nederlandsche drukpers"" te Amsterdam op ... 8 Januari 1898 ...","","","","","http://www.worldcat.org/oclc/82213402","","1898","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","Typ. Elderman & Berg","Amsterdam","Dutch","","","!!kwijt!!","","","","","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7TTZHF5F","book","1857","","Feestliederen bij gelegenheid der zevende jaarlijksche feestviering van de Amsterdamsche Typografische Vereeniging: Voorzorg en Genoegen ... Door eenige leden der vereeniging vervaardigd.","","","","","http://www.worldcat.org/oclc/82168400","","1857","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","Portielje","","Dutch","","","NL-AsdIISG","","","","","","","","amsterdam1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U94YR8CM","book","1859","","Zangstukjes, bij de viering van het tiende kopperfeest der Typografische Vereeniging: Boekdrukkunst, de Grondzuil der Verlichting te Arnhem, 10 Januarij 1859.","","","","","http://www.worldcat.org/oclc/84867221","","1859","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","Thieme","Arnhem","Dutch","","","NL-AsdIISG","","","","","","","","arnhem1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3D6VXAL2","book","1863","","Feestboekje voor de zesde jaarlijksche feestviering der typographische vereeniging ""De Nederlandsche drukpers"", gevestigd te Amsterdam op ... 10 Januarij 1863.","","","","","http://www.worldcat.org/oclc/82033636","","1863","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","Druk Bakels","","Dutch","","","NL-AsdIISG","","","","","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KS7UARPA","book","1861","","Feestliederen bij gelegenheid der buitengewone algemeene vergadering der typographische vereeniging "" De Nederlandsche drukpers"", ter herinnering aan de onthulling van het standbeeld van Lourens Jansz. Coster, op 16 Julij 1856 te Haarlem. Op 13 Julij 1861, in den grand salon ...","","","","","http://www.worldcat.org/oclc/82865696","","1861","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","Druk Vislaake","","Dutch","","","NL-AsdIISG","","","","","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I6U5UC49","book","1856","","Zangcoupletten voor de plegtige feestviering der onthulling van het standbeeld van Lourens Janszoon Koster, te Haarlem, den 16den Julij 1856.","","","","","http://www.worldcat.org/oclc/66109931","","1856","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","door de leden der Typografische Vereeniging","Te Arnhem","Dutch","","","NL-AsdUvA","","","","","","","","arnhem1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6DWAKEH","book","1864","","Feestzang-bundel: meerendeels vervaardigd door de leden der typografische vereeniging ""Harmonie en vriendschap"" te Middelburg, uitgegeven ten voordeele van hun ziekenfonds.","","","","","http://www.worldcat.org/oclc/521422306","","1864","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","Milborn","Middelburg","Dutch","","","NL-0873450000","","","","","","","","middelburg1847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGMKQE2F","book","1897","","Feestzangen ter viering van het zes-en-veertigjarig bestaan der Typografische Vereeniging ""Nut en Genoegen"" te Utrecht, op maandag 11 januari 1897: beschermheer: de weledelachtbare heer B. Reiger, burgemeester der gemeente Utrecht.","","","","","http://www.worldcat.org/oclc/975833272","","1897","2021-01-11 16:49:57","2021-01-29 15:24:54","","","","","","","","","","","","","","Utrecht","nl","","","NL-0100030000","","","","","","","","utrecht1851","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
